respondent_id,survey_year,region,province,sex,age,civil_status,education_level,years_of_schooling,employment_status,occupation_type,monthly_income_php,household_size,num_children,housing_type,water_source,toilet_facility,electricity_source,internet_access,health_insurance,food_insecurity_score,bmi,mental_health_score,dist_to_health_facility_km,received_gov_aid,gov_aid_amount_php
PH-002589,2023,Region VI,Region VI Province,Male,15,Married,High School,12,Employed,Construction,55371.0,2,3,Owned - Concrete,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,3,20.7,2.0,6.1,0,0
PH-002590,2019,Region VIII,Region VIII Province,Male,24,Live-in,High School,10,Self-Employed,Healthcare,25886.0,3,0,Owned - Concrete,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,1,25.5,5.0,3.3,1,2000
PH-002591,2022,Region IV-A,Rizal,Male,43,Live-in,No Formal Education,1,Self-Employed,Transport/Logistics,49220.0,4,1,Shared/Rent-free,Deep Well,Water-sealed/Flush,None,Both,HMO Only,3,18.8,9.0,6.7,0,0
PH-002592,2021,Region IV-B,Region IV-B Province,Male,43,Married,College,17,Employed,Education,7615.0,3,0,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,4,26.5,16.0,3.5,0,0
PH-002593,2019,Region I,Pangasinan,Male,29,Married,College,16,Retired,Transport/Logistics,15675.0,5,4,Owned - Concrete,River/Rain,Shared Toilet,Meralco/Electric Coop,None,None,3,19.6,1.0,0.3,0,0
PH-002594,2022,Region IV-B,Region IV-B Province,Male,42,Widowed,Postgraduate,18,Employed,Manufacturing,49670.0,8,3,Shared/Rent-free,Communal Faucet,None,None,None,PhilHealth Only,4,22.1,,7.6,1,1000
PH-002595,2023,Region V,Region V Province,Female,40,Single,Elementary,8,Employed,Healthcare,25964.0,5,2,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,4,,10.0,7.5,0,0
PH-002596,2023,Region XII,Region XII Province,Female,41,Single,Vocational/Tech,13,Employed,Education,18458.0,6,0,Rented,River/Rain,Water-sealed/Flush,None,None,PhilHealth Only,4,19.5,9.0,2.5,0,0
PH-002597,2019,CARAGA,CARAGA Province,Female,41,Single,Vocational/Tech,11,Employed,Healthcare,23852.0,1,2,Rented,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Broadband,None,2,28.2,8.0,14.8,0,0
PH-002598,2023,Region V,Region V Province,Female,23,Widowed,High School,12,Employed,Retail/Trade,17092.0,3,3,Owned - Concrete,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,4,21.1,13.0,1.5,0,0
PH-002599,2021,Region VIII,Region VIII Province,Female,20,Widowed,College,16,Student,None/Informal,0.0,3,0,Owned - Light Materials,Deep Well,Shared Toilet,Meralco/Electric Coop,Both,PhilHealth Only,2,26.2,8.0,6.1,1,500
PH-002600,2023,NCR,Metro Manila,Female,43,Separated/Annulled,High School,12,Self-Employed,Government,28548.0,5,1,Shared/Rent-free,Communal Faucet,Pit Latrine,Meralco/Electric Coop,None,PhilHealth Only,1,28.9,5.0,0.5,1,3000
PH-002601,2019,Region VII,Siquijor,Female,32,Married,Elementary,8,Employed,Education,14077.0,4,2,Rented,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth Only,3,20.7,5.0,8.2,1,1500
PH-002602,2019,Region VII,Negros Oriental,Male,40,Widowed,College,16,Employed,Healthcare,84544.0,6,3,Shared/Rent-free,Shallow Well,Shared Toilet,None,Mobile Data Only,None,1,27.7,7.0,3.3,0,0
PH-002603,2022,NCR,Metro Manila,Female,37,Single,Elementary,5,Self-Employed,Manufacturing,42921.0,5,0,Rented,Piped/NAWASA,Pit Latrine,None,Mobile Data Only,PhilHealth Only,3,21.8,9.0,1.0,1,1000
PH-002604,2021,Region II,Region II Province,Female,32,Separated/Annulled,Vocational/Tech,13,Underemployed,Construction,19596.0,2,5,Owned - Concrete,Bottled/Delivered,Pit Latrine,None,Broadband,None,1,22.0,11.0,6.8,0,0
PH-002605,2023,Region XII,Region XII Province,Male,33,Married,High School,12,Employed,Retail/Trade,23519.0,5,1,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth + HMO,4,28.0,12.0,2.1,1,1500
PH-002606,2019,Region V,Region V Province,Male,34,Widowed,High School,10,Employed,Agriculture/Fishing,20327.0,2,2,Shared/Rent-free,Communal Faucet,Pit Latrine,None,Mobile Data Only,PhilHealth Only,2,27.3,2.0,10.2,0,0
PH-002607,2018,Region IV-A,Quezon,Male,24,Married,Elementary,5,Retired,Manufacturing,,6,1,Shared/Rent-free,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,4,19.3,15.0,5.0,1,1000
PH-002608,2021,CAR,CAR Province,Female,27,Widowed,College,18,Employed,Government,20342.0,6,1,Informal Settler,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth + HMO,2,,5.0,24.7,1,500
PH-002609,2023,Region II,Region II Province,Male,28,Widowed,College,16,Employed,Education,40093.0,5,0,Shared/Rent-free,Bottled/Delivered,Water-sealed/Flush,None,None,PhilHealth Only,2,27.8,,8.6,0,0
PH-002610,2020,Region XII,Region XII Province,Female,47,Single,High School,10,Employed,Agriculture/Fishing,42249.0,3,0,Owned - Concrete,Communal Faucet,Pit Latrine,Meralco/Electric Coop,Both,None,2,,13.0,1.5,0,0
PH-002611,2018,Region IX,Region IX Province,Female,34,Separated/Annulled,College,16,Employed,Construction,26765.0,4,4,Informal Settler,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,,,7.8,0,0
PH-002612,2021,BARMM,Maguindanao,Male,54,Married,College,15,Student,None/Informal,,7,0,Rented,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,3,23.1,12.0,16.8,0,0
PH-002613,2019,Region II,Region II Province,Male,24,Separated/Annulled,College,17,Employed,Agriculture/Fishing,25354.0,1,4,Owned - Concrete,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Broadband,PhilHealth + HMO,2,24.7,6.0,8.4,0,0
PH-002614,2021,Region V,Region V Province,Female,15,Live-in,No Formal Education,2,Unemployed,None/Informal,0.0,4,1,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,None,None,None,3,31.8,6.0,7.3,1,1000
PH-002615,2021,Region IX,Region IX Province,Male,39,Single,Postgraduate,19,Employed,Construction,51891.0,3,1,Shared/Rent-free,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Both,None,4,26.3,,3.4,1,3000
PH-002616,2019,Region VIII,Region VIII Province,Female,39,Live-in,College,16,Employed,None/Informal,40241.0,3,0,Informal Settler,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,None,3,19.4,,3.5,1,1000
PH-002617,2023,Region IV-A,Rizal,Male,44,Widowed,College,16,Self-Employed,Agriculture/Fishing,26295.0,4,4,Owned - Light Materials,Piped/NAWASA,None,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,31.3,1.0,4.9,0,0
PH-002618,2023,Region XI,Davao del Norte,Male,15,Separated/Annulled,High School,10,Self-Employed,Retail/Trade,21213.0,4,3,Rented,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,None,None,3,27.1,,11.5,1,3000
PH-002619,2019,Region VI,Region VI Province,Male,31,Single,College,16,Unemployed,None/Informal,,3,2,Owned - Concrete,Communal Faucet,Water-sealed/Flush,None,None,None,3,30.7,6.0,3.3,0,0
PH-002620,2020,CARAGA,CARAGA Province,Male,29,Separated/Annulled,Vocational/Tech,13,Underemployed,Healthcare,19133.0,4,1,Owned - Concrete,Deep Well,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,4,20.9,11.0,16.6,1,500
PH-002621,2020,Region VI,Region VI Province,Female,15,Widowed,Elementary,5,Underemployed,Manufacturing,16985.0,2,3,Shared/Rent-free,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Broadband,PhilHealth Only,2,,16.0,7.6,1,1500
PH-002622,2022,NCR,Metro Manila,Male,38,Live-in,College,18,Self-Employed,Manufacturing,21188.0,3,4,Owned - Concrete,Deep Well,Water-sealed/Flush,None,Broadband,PhilHealth + HMO,2,20.1,11.0,0.6,0,0
PH-002623,2022,Region III,Region III Province,Female,23,Single,Postgraduate,20,Employed,Government,10237.0,3,1,Shared/Rent-free,Shallow Well,Shared Toilet,Generator,None,HMO Only,3,28.5,10.0,4.4,1,500
PH-002624,2020,Region IV-B,Region IV-B Province,Female,32,Married,College,16,Employed,Government,33060.0,7,2,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,None,Mobile Data Only,HMO Only,2,20.3,1.0,7.0,0,0
PH-002625,2018,Region IX,Region IX Province,Male,41,Separated/Annulled,College,17,Underemployed,Government,17830.0,4,4,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,2,28.5,7.0,3.2,1,500
PH-002626,2022,Region VII,Siquijor,Male,42,Single,High School,11,Student,None/Informal,0.0,5,2,Shared/Rent-free,River/Rain,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,4,24.3,19.0,8.6,0,0
PH-002627,2020,Region II,Region II Province,Female,43,Single,College,15,Employed,Transport/Logistics,26031.0,6,2,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,None,Broadband,None,3,23.2,8.0,4.5,1,1000
PH-002628,2021,Region VI,Region VI Province,Female,37,Widowed,High School,10,Employed,Education,18158.0,7,2,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,1,24.3,6.0,6.4,0,0
PH-002629,2018,Region VII,Siquijor,Female,38,Single,High School,10,Retired,None/Informal,14517.0,3,2,Owned - Light Materials,Piped/NAWASA,None,Meralco/Electric Coop,Both,None,1,27.4,10.0,6.5,1,1500
PH-002630,2018,Region VI,Region VI Province,Male,35,Single,College,16,Unemployed,None/Informal,0.0,5,4,Rented,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,25.1,,2.4,1,1500
PH-002631,2020,Region X,Region X Province,Female,36,Married,Postgraduate,20,Employed,Construction,47209.0,4,1,Shared/Rent-free,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,Broadband,PhilHealth Only,2,22.3,12.0,0.5,0,0
PH-002632,2019,Region IX,Region IX Province,Female,50,Single,Postgraduate,18,Employed,Manufacturing,16329.0,6,0,Rented,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,27.3,9.0,2.0,0,0
PH-002633,2019,Region XI,Davao de Oro,Male,37,Widowed,College,15,Unemployed,None/Informal,0.0,2,1,Rented,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,5,27.8,8.0,2.1,0,0
PH-002634,2020,BARMM,Lanao del Sur,Male,42,Live-in,Vocational/Tech,14,Employed,Transport/Logistics,24627.0,1,3,Informal Settler,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth + HMO,2,,5.0,10.2,0,0
PH-002635,2018,Region IV-B,Region IV-B Province,Male,38,Widowed,Postgraduate,20,Employed,Healthcare,28996.0,1,0,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,5,23.2,11.0,3.0,1,2000
PH-002636,2021,Region III,Region III Province,Male,15,Separated/Annulled,College,18,Unemployed,None/Informal,,4,1,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,3,24.0,10.0,4.5,1,1500
PH-002637,2022,Region V,Region V Province,Male,19,Widowed,Elementary,7,Employed,Education,32588.0,1,0,Rented,Communal Faucet,Pit Latrine,Solar,Mobile Data Only,None,3,,7.0,0.8,1,1500
PH-002638,2020,Region IV-A,Quezon,Male,26,Widowed,College,18,Employed,Agriculture/Fishing,20792.0,1,0,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,3,30.5,6.0,7.3,1,1500
PH-002639,2019,NCR,Metro Manila,Female,15,Single,Postgraduate,17,Self-Employed,Government,36158.0,3,2,Rented,Communal Faucet,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,None,2,30.0,3.0,1.7,0,0
PH-002640,2019,CAR,CAR Province,Male,31,Married,College,17,Unemployed,None/Informal,,4,1,Owned - Light Materials,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Both,HMO Only,3,24.4,7.0,13.7,1,2000
PH-002641,2021,Region IV-A,Rizal,Male,36,Separated/Annulled,High School,9,Unemployed,None/Informal,0.0,6,3,Rented,Bottled/Delivered,Pit Latrine,Meralco/Electric Coop,Both,None,2,28.1,4.0,6.8,1,1000
PH-002642,2020,Region I,Pangasinan,Male,42,Separated/Annulled,Elementary,8,Unemployed,None/Informal,,1,2,Owned - Concrete,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,21.3,17.0,3.0,0,0
PH-002643,2019,Region V,Region V Province,Female,25,Live-in,College,15,Self-Employed,Agriculture/Fishing,25474.0,6,1,Informal Settler,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,4,26.7,0.0,3.4,0,0
PH-002644,2021,CARAGA,CARAGA Province,Male,28,Widowed,College,15,Underemployed,Transport/Logistics,,1,5,Owned - Concrete,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,None,PhilHealth + HMO,4,25.1,16.0,28.4,0,0
PH-002645,2023,NCR,Metro Manila,Male,45,Single,Elementary,6,Employed,IT/Tech,43014.0,5,1,Rented,Piped/NAWASA,None,Meralco/Electric Coop,Broadband,PhilHealth Only,2,21.0,4.0,0.1,1,1000
PH-002646,2020,NCR,Metro Manila,Female,34,Separated/Annulled,College,18,Underemployed,Transport/Logistics,5754.0,5,2,Owned - Concrete,Shallow Well,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,None,4,22.3,25.0,2.3,1,1000
PH-002647,2019,Region IV-A,Quezon,Male,20,Separated/Annulled,Vocational/Tech,13,Self-Employed,Retail/Trade,27993.0,3,0,Rented,Piped/NAWASA,None,None,Both,PhilHealth Only,1,,4.0,7.9,0,0
PH-002648,2019,Region X,Region X Province,Female,46,Separated/Annulled,Postgraduate,18,Self-Employed,Construction,55511.0,3,2,Shared/Rent-free,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,22.5,4.0,9.8,0,0
PH-002649,2020,Region XII,Region XII Province,Female,37,Single,College,16,Employed,Government,35652.0,3,0,Owned - Concrete,Shallow Well,Water-sealed/Flush,None,Broadband,HMO Only,2,,6.0,5.0,1,500
PH-002650,2021,Region XI,Davao de Oro,Male,15,Single,College,16,Employed,Agriculture/Fishing,12431.0,6,3,Rented,Piped/NAWASA,Water-sealed/Flush,Solar,None,PhilHealth Only,2,20.2,3.0,3.9,0,0
PH-002651,2021,Region I,La Union,Male,42,Married,College,18,Employed,Retail/Trade,42486.0,3,0,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,None,Mobile Data Only,None,3,21.0,7.0,9.0,0,0
PH-002652,2021,Region XII,Region XII Province,Female,44,Separated/Annulled,Vocational/Tech,12,Unemployed,None/Informal,,5,0,Rented,Deep Well,None,Meralco/Electric Coop,Both,None,4,29.0,7.0,9.1,0,0
PH-002653,2018,Region IV-B,Region IV-B Province,Female,50,Married,College,17,Retired,Manufacturing,19254.0,5,2,Owned - Light Materials,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,HMO Only,4,26.4,5.0,3.7,1,500
PH-002654,2019,Region V,Region V Province,Male,37,Separated/Annulled,High School,11,Underemployed,Education,7007.0,4,3,Owned - Light Materials,River/Rain,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,1,30.9,13.0,3.6,0,0
PH-002655,2019,Region IV-B,Region IV-B Province,Female,41,Separated/Annulled,College,15,Underemployed,Government,13380.0,7,3,Informal Settler,Piped/NAWASA,Water-sealed/Flush,None,Broadband,HMO Only,1,27.0,,5.2,1,2000
PH-002656,2023,CAR,CAR Province,Male,26,Separated/Annulled,High School,11,Unemployed,None/Informal,,7,3,Owned - Light Materials,Piped/NAWASA,Pit Latrine,None,Mobile Data Only,None,3,18.9,6.0,15.0,0,0
PH-002657,2018,Region II,Region II Province,Male,37,Married,College,15,Student,None/Informal,,7,3,Owned - Concrete,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth + HMO,4,25.9,,4.4,0,0
PH-002658,2019,BARMM,Basilan,Male,47,Separated/Annulled,College,16,Employed,Government,23601.0,5,1,Shared/Rent-free,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,None,None,1,,,7.4,0,0
PH-002659,2023,CAR,CAR Province,Female,32,Married,Vocational/Tech,12,Underemployed,Retail/Trade,8352.0,6,1,Shared/Rent-free,Deep Well,Pit Latrine,Meralco/Electric Coop,Both,PhilHealth Only,4,30.9,7.0,4.9,0,0
PH-002660,2020,Region XI,Davao de Oro,Male,15,Live-in,College,17,Employed,IT/Tech,10064.0,2,4,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,3,26.1,1.0,1.4,1,500
PH-002661,2021,Region II,Region II Province,Female,45,Widowed,No Formal Education,1,Underemployed,Construction,15419.0,4,2,Rented,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,4,23.6,12.0,5.6,0,0
PH-002662,2019,Region V,Region V Province,Male,63,Married,College,18,Employed,Education,6907.0,6,1,Rented,Deep Well,None,None,Both,PhilHealth + HMO,4,21.7,7.0,7.1,0,0
PH-002663,2020,Region XI,Davao de Oro,Female,72,Married,Elementary,7,Self-Employed,Government,39530.0,3,1,Shared/Rent-free,Bottled/Delivered,Water-sealed/Flush,None,None,PhilHealth Only,2,17.0,10.0,7.2,0,0
PH-002664,2022,CAR,CAR Province,Female,19,Married,Vocational/Tech,12,Retired,Education,-999.0,5,0,Informal Settler,Piped/NAWASA,None,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,2,31.2,11.0,12.1,1,2000
PH-002665,2019,Region VIII,Region VIII Province,Female,32,Widowed,College,16,Unemployed,None/Informal,0.0,4,1,Owned - Light Materials,Shallow Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,1,33.1,8.0,6.2,1,1500
PH-002666,2018,Region IX,Region IX Province,Male,34,Live-in,College,18,Retired,Education,7375.0,4,0,Shared/Rent-free,Deep Well,None,Generator,Mobile Data Only,None,5,19.3,2.0,3.7,0,0
PH-002667,2021,Region II,Region II Province,Female,50,Live-in,Vocational/Tech,11,Retired,Retail/Trade,9954.0,2,3,Shared/Rent-free,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,3,26.8,12.0,12.2,0,0
PH-002668,2022,Region VII,Negros Oriental,Male,61,Widowed,Vocational/Tech,12,Employed,Healthcare,16122.0,7,2,Owned - Concrete,Communal Faucet,Water-sealed/Flush,None,Mobile Data Only,PhilHealth Only,3,,7.0,2.6,1,1000
PH-002669,2020,Region V,Region V Province,Female,44,Widowed,High School,12,Employed,Retail/Trade,46288.0,1,2,Owned - Light Materials,Piped/NAWASA,Shared Toilet,None,Mobile Data Only,PhilHealth Only,4,23.7,14.0,6.1,0,0
PH-002670,2019,Region IV-A,Laguna,Female,39,Widowed,Postgraduate,20,Employed,None/Informal,20685.0,2,0,Rented,Piped/NAWASA,Water-sealed/Flush,Generator,Mobile Data Only,HMO Only,3,24.6,7.0,3.7,0,0
PH-002671,2020,Region I,Ilocos Norte,Male,31,Live-in,College,17,Underemployed,IT/Tech,22549.0,4,0,Informal Settler,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,3,23.6,11.0,9.8,0,0
PH-002672,2023,Region XI,Davao de Oro,Male,34,Married,High School,9,Student,None/Informal,0.0,5,0,Owned - Light Materials,Piped/NAWASA,None,Meralco/Electric Coop,None,HMO Only,3,27.1,,5.6,1,1000
PH-002673,2022,Region IV-A,Rizal,Female,36,Single,High School,10,Self-Employed,None/Informal,24953.0,6,2,Owned - Light Materials,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,4,,8.0,5.3,0,0
PH-002674,2020,Region X,Region X Province,Female,22,Single,High School,11,Employed,Transport/Logistics,,8,2,Rented,Shallow Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,4,24.9,7.0,0.5,0,0
PH-002675,2022,CARAGA,CARAGA Province,Female,26,Married,High School,10,Employed,Construction,10559.0,7,1,Owned - Concrete,Bottled/Delivered,Water-sealed/Flush,Solar,Broadband,PhilHealth Only,2,28.2,,6.6,1,1000
PH-002676,2021,NCR,Metro Manila,Male,35,Single,No Formal Education,2,Student,None/Informal,0.0,6,2,Owned - Concrete,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Both,HMO Only,4,24.8,,1.4,1,1000
PH-002677,2018,Region I,Ilocos Norte,Male,22,Single,Postgraduate,19,Retired,Healthcare,10081.0,2,2,Owned - Light Materials,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,2,35.2,7.0,0.8,0,0
PH-002678,2018,Region IV-A,Laguna,Female,33,Widowed,Vocational/Tech,12,Retired,Agriculture/Fishing,12182.0,7,1,Informal Settler,Piped/NAWASA,Pit Latrine,None,Broadband,None,1,27.9,1.0,3.7,0,0
PH-002679,2023,CAR,CAR Province,Female,31,Separated/Annulled,College,15,Employed,Government,,6,1,Rented,Piped/NAWASA,Water-sealed/Flush,None,Mobile Data Only,None,3,24.4,8.0,12.7,0,0
PH-002680,2019,Region VII,Cebu,Female,40,Separated/Annulled,College,18,Retired,Transport/Logistics,13870.0,5,2,Rented,Communal Faucet,None,Meralco/Electric Coop,Mobile Data Only,None,1,24.7,10.0,7.2,1,1500
PH-002681,2019,Region IV-B,Region IV-B Province,Female,26,Separated/Annulled,College,17,Self-Employed,Manufacturing,16392.0,3,2,Owned - Concrete,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,4,22.8,12.0,5.4,1,1500
PH-002682,2022,Region VII,Bohol,Male,33,Separated/Annulled,High School,11,Self-Employed,Manufacturing,21443.0,6,2,Shared/Rent-free,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,5,20.9,10.0,3.4,1,1500
PH-002683,2018,Region XII,Region XII Province,Female,24,Live-in,Postgraduate,20,Self-Employed,IT/Tech,24184.0,5,6,Rented,Piped/NAWASA,Pit Latrine,None,Broadband,HMO Only,2,19.8,9.0,1.2,0,0
PH-002684,2021,Region VI,Region VI Province,Female,33,Widowed,College,15,Unemployed,None/Informal,0.0,4,3,Rented,Piped/NAWASA,Pit Latrine,Solar,Broadband,None,4,22.4,8.0,2.7,0,0
PH-002685,2023,Region V,Region V Province,Female,21,Widowed,Postgraduate,19,Employed,Government,,2,1,Owned - Concrete,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,None,PhilHealth + HMO,3,,17.0,1.1,0,0
PH-002686,2022,Region VIII,Region VIII Province,Female,15,Single,College,18,Retired,IT/Tech,9414.0,4,2,Rented,Shallow Well,None,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,2,23.7,9.0,8.1,1,1000
PH-002687,2018,Region I,Pangasinan,Female,15,Married,College,18,Employed,None/Informal,19509.0,5,0,Owned - Concrete,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,None,PhilHealth Only,4,21.8,7.0,6.7,0,0
PH-002688,2020,Region XII,Region XII Province,Male,27,Single,No Formal Education,0,Employed,Healthcare,8038.0,4,3,Shared/Rent-free,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,HMO Only,2,20.9,16.0,4.0,1,1500
PH-002689,2020,Region IX,Region IX Province,Female,28,Married,Elementary,5,Employed,Transport/Logistics,26626.0,6,5,Owned - Concrete,Deep Well,Water-sealed/Flush,Solar,Broadband,None,3,29.4,8.0,1.9,0,0
PH-002690,2023,Region III,Region III Province,Female,35,Live-in,High School,11,Employed,IT/Tech,25959.0,2,1,Rented,Piped/NAWASA,Water-sealed/Flush,Solar,Mobile Data Only,None,3,26.0,10.0,5.9,0,0
PH-002691,2023,Region II,Region II Province,Female,28,Separated/Annulled,Elementary,6,Student,None/Informal,0.0,3,0,Rented,Deep Well,Water-sealed/Flush,None,None,PhilHealth Only,5,,6.0,2.2,0,0
PH-002692,2022,Region II,Region II Province,Female,70,Married,College,17,Employed,Transport/Logistics,,4,2,Owned - Concrete,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,4,,17.0,6.5,0,0
PH-002693,2018,Region V,Region V Province,Male,22,Married,College,16,Self-Employed,IT/Tech,20865.0,5,5,Owned - Concrete,Deep Well,Pit Latrine,None,None,HMO Only,1,29.6,8.0,7.5,0,0
PH-002694,2023,Region X,Region X Province,Female,33,Married,College,16,Self-Employed,Government,14684.0,6,3,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,3,24.4,5.0,0.3,1,1000
PH-002695,2021,CARAGA,CARAGA Province,Female,44,Widowed,Vocational/Tech,13,Employed,Transport/Logistics,31392.0,3,1,Owned - Light Materials,Deep Well,Shared Toilet,Solar,Broadband,PhilHealth Only,2,18.3,6.0,4.1,1,3000
PH-002696,2020,CARAGA,CARAGA Province,Female,30,Widowed,High School,12,Student,None/Informal,0.0,3,0,Rented,Bottled/Delivered,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,5,,5.0,13.9,0,0
PH-002697,2023,CARAGA,CARAGA Province,Female,40,Married,High School,12,Retired,Education,15937.0,3,3,Rented,Piped/NAWASA,Water-sealed/Flush,None,Mobile Data Only,PhilHealth Only,2,18.9,11.0,21.0,1,1500
PH-002698,2020,Region IX,Region IX Province,Female,66,Live-in,College,18,Unemployed,None/Informal,,2,3,Shared/Rent-free,Bottled/Delivered,Pit Latrine,Meralco/Electric Coop,Broadband,None,3,27.8,4.0,1.2,0,0
PH-002699,2022,Region IX,Region IX Province,Female,25,Live-in,High School,11,Employed,Manufacturing,25524.0,3,3,Owned - Light Materials,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,4,27.0,,6.2,1,500
PH-002700,2023,CAR,CAR Province,Male,20,Single,High School,9,Employed,Education,55161.0,3,3,Owned - Light Materials,Communal Faucet,Water-sealed/Flush,None,None,PhilHealth + HMO,4,26.4,0.0,5.6,1,1000
PH-002701,2019,Region VII,Negros Oriental,Male,50,Single,High School,10,Employed,None/Informal,21994.0,4,3,Rented,Piped/NAWASA,Pit Latrine,None,None,PhilHealth + HMO,3,25.7,6.0,4.1,1,2000
PH-002702,2022,Region VII,Siquijor,Male,45,Separated/Annulled,Elementary,8,Employed,Transport/Logistics,33932.0,4,3,Owned - Concrete,Shallow Well,Shared Toilet,None,None,PhilHealth Only,2,20.9,4.0,2.1,1,2000
PH-002703,2018,BARMM,Maguindanao,Male,31,Widowed,College,17,Self-Employed,Retail/Trade,51033.0,3,2,Owned - Light Materials,Deep Well,Water-sealed/Flush,None,Mobile Data Only,None,2,23.4,0.0,10.5,0,0
